t,queue_north,queue_south,queue_east,queue_west,queue_total,waiting_total,running_veh,phase
1,0,0,0,0,0,0.0,8,0
2,0,0,0,0,0,0.0,16,0
3,0,0,0,0,0,0.0,17,0
4,0,0,0,0,0,0.0,24,0
5,0,0,0,0,0,0.0,25,0
6,0,0,0,0,0,0.0,32,0
7,0,0,0,0,0,0.0,33,0
8,0,0,0,0,0,0.0,38,0
9,0,0,0,0,0,0.0,41,0
10,0,0,0,0,0,0.0,42,0
11,0,0,0,0,0,0.0,45,0
12,0,0,0,0,0,0.0,46,0
13,0,0,2,0,2,2.0,48,0
14,0,0,0,0,0,0.0,50,0
15,0,1,0,0,1,1.0,51,0
16,1,2,0,0,3,4.0,53,0
17,3,2,0,0,5,9.0,54,0
18,3,3,0,0,6,15.0,55,0
19,4,4,0,0,8,23.0,57,0
20,6,4,0,1,11,34.0,61,0
21,8,6,0,1,15,49.0,61,0
22,8,7,1,1,17,64.0,65,0
23,9,9,1,1,20,83.0,65,0
24,7,8,2,1,18,68.0,64,0
25,7,7,3,1,18,60.0,66,0
26,7,6,4,1,18,56.0,66,0
27,5,5,5,3,18,54.0,67,0
28,5,5,6,4,20,55.0,69,0
29,5,4,6,4,19,64.0,70,0
30,5,3,6,4,18,69.0,72,0
31,5,3,6,6,20,81.0,70,0
32,3,3,6,7,19,89.0,70,0
33,3,3,6,7,19,101.0,70,0
34,4,4,4,5,17,71.0,70,0
35,4,2,3,3,12,44.0,70,0
36,5,3,1,1,10,23.0,70,0
37,7,5,0,0,12,28.0,70,0
38,8,6,0,0,14,42.0,71,0
39,9,9,0,0,18,60.0,71,0
40,10,8,0,0,18,77.0,71,0
41,12,9,1,0,22,99.0,70,0
42,13,11,2,0,26,125.0,70,0
43,14,13,2,1,30,155.0,70,0
44,14,12,2,1,29,142.0,69,0
45,12,11,1,2,26,129.0,68,0
46,12,10,2,3,27,121.0,71,0
47,12,9,2,3,26,123.0,72,0
48,11,10,2,3,26,115.0,71,0
49,11,11,3,3,28,110.0,71,0
50,10,8,4,3,25,107.0,72,0
