t,queue_north,queue_south,queue_east,queue_west,queue_total,waiting_total,running_veh,phase
1,0,0,0,0,0,0.0,8,0
2,0,0,0,0,0,0.0,16,0
3,0,0,0,0,0,0.0,17,0
4,0,0,0,0,0,0.0,24,0
5,0,0,0,0,0,0.0,25,0
6,0,0,0,0,0,0.0,32,0
7,0,0,0,0,0,0.0,33,0
8,0,0,0,0,0,0.0,38,0
9,0,0,0,0,0,0.0,40,0
10,0,0,0,0,0,0.0,41,0
11,0,0,0,0,0,0.0,44,0
12,0,0,0,0,0,0.0,45,0
13,0,0,0,1,1,1.0,47,0
14,0,1,0,0,1,1.0,47,0
15,1,1,0,0,2,2.0,50,0
16,1,2,0,0,3,5.0,50,0
17,2,3,0,0,5,9.0,52,0
18,2,4,0,0,6,15.0,52,0
19,3,6,0,0,9,24.0,55,0
20,4,7,0,0,11,35.0,57,0
21,5,7,0,1,13,48.0,59,0
22,7,8,0,1,16,64.0,61,0
23,9,9,0,1,19,83.0,63,0
24,8,7,2,2,19,70.0,64,0
25,7,6,2,3,18,62.0,63,0
26,6,5,4,3,18,57.0,64,0
27,5,4,4,5,18,54.0,67,0
28,4,3,4,6,17,54.0,67,0
29,3,2,4,6,15,58.0,71,0
30,2,3,5,6,16,66.0,71,0
31,2,1,5,7,15,76.0,70,0
32,2,1,5,7,15,86.0,67,0
33,0,0,5,7,12,95.0,68,0
34,1,1,3,5,10,63.0,66,0
35,1,2,2,3,8,33.0,67,0
36,2,2,0,1,5,14.0,67,0
37,3,4,0,0,7,15.0,66,0
38,3,6,0,0,9,24.0,66,0
39,5,7,0,0,12,36.0,67,0
40,6,7,0,0,13,49.0,68,0
41,7,10,1,1,19,68.0,68,0
42,8,11,1,2,22,88.0,67,0
43,10,13,0,2,25,112.0,67,0
44,10,12,0,1,23,99.0,67,0
45,8,11,1,1,21,85.0,68,0
46,9,12,1,2,24,82.0,68,0
47,8,10,2,2,22,79.0,69,0
48,6,9,3,2,20,74.0,68,0
49,6,9,3,3,21,73.0,70,0
50,6,9,3,3,21,80.0,69,0
