t,queue_north,queue_south,queue_east,queue_west,queue_total,waiting_total,running_veh,phase
1,0,0,0,0,0,0.0,8,0
2,0,0,0,0,0,0.0,16,0
3,0,0,0,0,0,0.0,17,0
4,0,0,0,0,0,0.0,24,0
5,0,0,0,0,0,0.0,25,0
6,0,0,0,0,0,0.0,33,0
7,0,0,0,0,0,0.0,33,0
8,0,0,0,0,0,0.0,38,0
9,0,0,0,0,0,0.0,41,0
10,0,0,0,0,0,0.0,42,0
11,0,0,0,0,0,0.0,46,0
12,0,0,0,0,0,0.0,46,0
13,0,1,0,1,2,2.0,49,0
14,0,1,0,0,1,2.0,50,0
15,0,3,0,0,3,5.0,52,0
16,1,4,0,0,5,10.0,54,0
17,1,4,0,0,5,15.0,55,0
18,3,6,0,0,9,24.0,58,0
19,3,7,0,0,10,34.0,58,0
20,4,7,0,0,11,45.0,63,0
21,6,9,0,0,15,60.0,64,0
22,6,11,0,0,17,77.0,64,0
23,9,11,0,0,20,97.0,67,0
24,7,10,0,1,18,80.0,66,0
25,7,9,2,1,19,68.0,67,0
26,6,9,4,2,21,63.0,69,0
27,6,7,4,3,20,61.0,71,0
28,6,8,5,4,23,64.0,72,0
29,5,6,5,5,21,66.0,73,0
30,3,5,5,5,18,67.0,74,0
31,3,4,5,5,17,70.0,72,0
32,4,4,4,5,17,73.0,71,0
33,1,3,5,6,15,78.0,71,0
34,2,3,4,4,13,51.0,69,0
35,2,2,2,2,8,22.0,67,0
36,2,5,1,0,8,16.0,67,0
37,3,3,0,0,6,15.0,66,0
38,4,5,0,0,9,24.0,65,0
39,5,5,0,0,10,33.0,66,0
40,7,6,0,1,14,47.0,65,0
41,9,7,1,2,19,66.0,64,0
42,9,8,1,2,20,86.0,67,0
43,11,10,1,1,23,106.0,67,0
44,10,10,2,0,22,91.0,68,0
45,9,8,1,1,19,76.0,68,0
46,9,8,2,1,20,69.0,68,0
47,9,7,2,2,20,66.0,68,0
48,9,7,2,3,21,63.0,69,0
49,8,7,3,3,21,69.0,69,0
50,6,7,3,3,19,67.0,68,0
